biosample_id,Cas12g,Cas13i,Cas12e,Cas13d,Cas3HD,Cas9,Cas3d,Cas10,Cas12d,Cas12c,Cas10d,Cas13f,Cas12k,Cas12b,Cas3,Cas12a,Cas12f,Cas13b,Cas12m,Cas3-Cas2
SAMEA6543300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6421090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
